screening_mode,policy,weighted_dest_aoi,weighted_dest_aoi_se,corr_w_c,weight_ratio,alignment,L,mu,lambda_link,nu_edge,kkt_regime,stage1_used_frac,stage2_used_frac,stage2_idle_empty_frac,total_VOQ_arrival_rate,total_delivery_rate,total_overwrite_rate,lambda_hat_min,lambda_hat_max,lambda_hat_sum,qd_iso2_relaxed_sum,qd_iso2_lambda_sum,N,weight_seed,channel_seed,K,warmup,num_seeds,pilot_K,pilot_warmup,num_pilot_seeds,gap_vs_iso_pct,gap_vs_iso_lambda_pct
quick,Joint FGMW,56.72729832637521,,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,1.0,0.0,0.25555555555555554,0.1111111111111111,0.1411111111111111,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.12000000000002514,0.12000000000001612,8,7,11,1000,100,1,1500,150,1,0.7871999317507816,2.632763595111154
quick,iso1 + iso2,56.284228914771674,,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,1.0,0.0,0.25555555555555554,0.1111111111111111,0.14111111111111113,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.12000000000002514,0.12000000000001612,8,7,11,1000,100,1,1500,150,1,0.0,1.8311488607780646
quick,iso1 + iso2-lambda,55.272114224816,,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,1.0,0.0,0.25555555555555554,0.1111111111111111,0.14111111111111113,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.12000000000002514,0.12000000000001612,8,7,11,1000,100,1,1500,150,1,-1.798220761784386,0.0
quick,Downstream-Aware MW,55.434185348484,,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,1.0,0.0,0.25555555555555554,0.1111111111111111,0.14222222222222222,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.12000000000002514,0.12000000000001612,8,7,11,1000,100,1,1500,150,1,-1.5102695420680878,0.29322403519573825
quick,Greedy,68.91732089064136,,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,1.0,0.0,0.19,0.1111111111111111,0.0788888888888889,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.12000000000002514,0.12000000000001612,8,7,11,1000,100,1,1500,150,1,22.445171977036992,24.68732534877227
quick,Uniform,73.98778034217348,,-0.848861535912691,10.0,aligned,3,0.12,0.0,1937.1787481578067,edge-only,1.0,1.0,0.0,0.25,0.1111111111111111,0.14222222222222222,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.12000000000002514,0.12000000000001612,8,7,11,1000,100,1,1500,150,1,31.45384021198796,33.8609557094788
quick,Joint FGMW,22.703434529737017,,-0.848861535912691,10.0,aligned,3,0.4,124.74462547159055,0.0,link-only,1.0,0.5733333333333334,0.4266666666666667,0.24666666666666667,0.24333333333333335,0.0,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.400000000000009,0.25037037037037035,8,7,11,1000,100,1,1500,150,1,0.5621501468855206,0.5450839193240631
quick,iso1 + iso2,22.576520586100614,,-0.848861535912691,10.0,aligned,3,0.4,124.74462547159055,0.0,link-only,1.0,0.6188888888888889,0.3811111111111111,0.25555555555555554,0.25555555555555554,0.0,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.400000000000009,0.25037037037037035,8,7,11,1000,100,1,1500,150,1,0.0,-0.01697082603795419
quick,iso1 + iso2-lambda,22.58035265846904,,-0.848861535912691,10.0,aligned,3,0.4,124.74462547159055,0.0,link-only,1.0,0.6188888888888889,0.3811111111111111,0.25555555555555554,0.25555555555555554,0.0,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.400000000000009,0.25037037037037035,8,7,11,1000,100,1,1500,150,1,0.01697370661617459,0.0
quick,Downstream-Aware MW,24.19674410938341,,-0.848861535912691,10.0,aligned,3,0.4,124.74462547159055,0.0,link-only,1.0,0.5588888888888889,0.4411111111111111,0.22555555555555556,0.2222222222222222,0.0011111111111111111,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.400000000000009,0.25037037037037035,8,7,11,1000,100,1,1500,150,1,7.176586476661506,7.158397724617127
quick,Greedy,28.161493775148188,,-0.848861535912691,10.0,aligned,3,0.4,124.74462547159055,0.0,link-only,1.0,0.43777777777777777,0.5622222222222222,0.19,0.18888888888888888,0.0,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.400000000000009,0.25037037037037035,8,7,11,1000,100,1,1500,150,1,24.73797132621933,24.716802262102288
quick,Uniform,37.49464927725069,,-0.848861535912691,10.0,aligned,3,0.4,124.74462547159055,0.0,link-only,1.0,0.5777777777777777,0.4222222222222222,0.25,0.24666666666666667,0.0022222222222222222,0.005925925925925926,0.05333333333333334,0.25037037037037035,0.400000000000009,0.25037037037037035,8,7,11,1000,100,1,1500,150,1,66.078068293369,66.04988347331174
quick,Joint FGMW,58.84382977737012,,0.8041487545439532,10.0,conflict,3,0.12,0.0,1937.1787481578067,edge-only,1.0,1.0,0.0,0.22,0.1111111111111111,0.10777777777777778,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.12000000000002514,0.11999999999998989,8,7,11,1000,100,1,1500,150,1,-2.4845689056443243,-0.49796642784417644
quick,iso1 + iso2,60.34309556651909,,0.8041487545439532,10.0,conflict,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9977777777777778,0.0022222222222222222,0.19111111111111112,0.10999999999999999,0.08222222222222222,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.12000000000002514,0.11999999999998989,8,7,11,1000,100,1,1500,150,1,0.0,2.0372185771069473
quick,iso1 + iso2-lambda,59.13831875074028,,0.8041487545439532,10.0,conflict,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9977777777777778,0.0022222222222222222,0.19111111111111112,0.10999999999999999,0.08222222222222222,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.12000000000002514,0.11999999999998989,8,7,11,1000,100,1,1500,150,1,-1.9965445996232067,0.0
quick,Downstream-Aware MW,60.0974098420745,,0.8041487545439532,10.0,conflict,3,0.12,0.0,1937.1787481578067,edge-only,1.0,1.0,0.0,0.2111111111111111,0.1111111111111111,0.09777777777777778,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.12000000000002514,0.11999999999998989,8,7,11,1000,100,1,1500,150,1,-0.40714802934456173,1.6217760524722458
quick,Greedy,68.5960651839336,,0.8041487545439532,10.0,conflict,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9788888888888889,0.021111111111111112,0.18555555555555558,0.10777777777777778,0.0788888888888889,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.12000000000002514,0.11999999999998989,8,7,11,1000,100,1,1500,150,1,13.676742202124625,15.992585912116297
quick,Uniform,147.90819160315033,,0.8041487545439532,10.0,conflict,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9977777777777778,0.0022222222222222222,0.25555555555555554,0.1111111111111111,0.14222222222222225,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.12000000000002514,0.11999999999998989,8,7,11,1000,100,1,1500,150,1,145.11203844374214,150.10550642564357
quick,Joint FGMW,28.567856797922133,,0.8041487545439532,10.0,conflict,3,0.4,165.9992728534271,0.0,link-only,1.0,0.4311111111111111,0.5688888888888889,0.18888888888888888,0.18666666666666665,0.0,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.400000000000009,0.1985185185185185,8,7,11,1000,100,1,1500,150,1,-0.9291612979150377,-0.9291612979150377
quick,iso1 + iso2,28.835787777903324,,0.8041487545439532,10.0,conflict,3,0.4,165.9992728534271,0.0,link-only,1.0,0.4822222222222222,0.5177777777777778,0.19111111111111112,0.19111111111111112,0.0,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.400000000000009,0.1985185185185185,8,7,11,1000,100,1,1500,150,1,0.0,0.0
quick,iso1 + iso2-lambda,28.835787777903324,,0.8041487545439532,10.0,conflict,3,0.4,165.9992728534271,0.0,link-only,1.0,0.4822222222222222,0.5177777777777778,0.19111111111111112,0.19111111111111112,0.0,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.400000000000009,0.1985185185185185,8,7,11,1000,100,1,1500,150,1,0.0,0.0
quick,Downstream-Aware MW,28.532576561134327,,0.8041487545439532,10.0,conflict,3,0.4,165.9992728534271,0.0,link-only,1.0,0.4088888888888889,0.5911111111111111,0.1788888888888889,0.17555555555555555,0.0,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.400000000000009,0.1985185185185185,8,7,11,1000,100,1,1500,150,1,-1.0515100856767434,-1.0515100856767434
quick,Greedy,28.37980395707402,,0.8041487545439532,10.0,conflict,3,0.4,165.9992728534271,0.0,link-only,1.0,0.42777777777777776,0.5722222222222222,0.18555555555555558,0.18222222222222223,0.0,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.400000000000009,0.1985185185185185,8,7,11,1000,100,1,1500,150,1,-1.581312167856641,-1.581312167856641
quick,Uniform,116.33794700578962,,0.8041487545439532,10.0,conflict,3,0.4,165.9992728534271,0.0,link-only,1.0,0.6077777777777778,0.39222222222222225,0.25555555555555554,0.25,0.003333333333333333,0.017777777777777778,0.03111111111111111,0.1985185185185185,0.400000000000009,0.1985185185185185,8,7,11,1000,100,1,1500,150,1,303.4498654999071,303.4498654999071
